especie	grupo_trofico
Holacanthus_passer	omnivoro
Lutjanus_argentiventris	carnivoro
Diadema_mexicanum	herbivoro
Pinctada_mazatlanica	filtrador
Mycteroperca_rosacea	carnivoro
Stegastes_rectrifaenum	herbivoro
Acanthaster_planci	carnivoro
Scarus_ghobban	herbivoro
Zanclus_cornutus	omnivoro
Isostichopus_fuscus	filtrador
