month	year	localidad	temperatura
10	2014	puerto_lobos	22.9202328
11	2014	puerto_lobos	19.5989399
12	2014	puerto_lobos	17.3596134
1	2015	puerto_lobos	17.6093941
2	2015	puerto_lobos	18.9063511
3	2015	puerto_lobos	20.576931
4	2015	puerto_lobos	22.0763283
5	2015	puerto_lobos	25.7839718
6	2015	puerto_lobos	29.034214
7	2015	puerto_lobos	30.6141644
8	2015	puerto_lobos	30.3569508
9	2015	puerto_lobos	28.5692654
10	2015	puerto_lobos	23.9764042
11	2015	puerto_lobos	19.8772831
12	2015	puerto_lobos	18.1238747
1	2016	puerto_lobos	17.8826351
2	2016	puerto_lobos	19.4508724
3	2016	puerto_lobos	20.6187782
4	2016	puerto_lobos	22.5228653
5	2016	puerto_lobos	25.0816593
6	2016	puerto_lobos	28.632719
7	2016	puerto_lobos	29.7751198
8	2016	puerto_lobos	29.1269703
9	2016	puerto_lobos	27.0302715
10	2016	puerto_lobos	22.7707481
11	2016	puerto_lobos	17.9939861
12	2016	puerto_lobos	16.7888813
1	2017	puerto_lobos	16.7029686
2	2017	puerto_lobos	18.4887524
3	2017	puerto_lobos	19.5741253
4	2017	puerto_lobos	21.6083527
5	2017	puerto_lobos	24.9599075
7	2002	puerto_libertad	28.3891544
8	2002	puerto_libertad	29.7995358
9	2002	puerto_libertad	26.2988987
10	2002	puerto_libertad	22.0847054
11	2002	puerto_libertad	19.4623985
12	2002	puerto_libertad	18.0202389
1	2003	puerto_libertad	18.1073952
2	2003	puerto_libertad	18.317379
3	2003	puerto_libertad	18.5807285
4	2003	puerto_libertad	21.5118275
5	2003	puerto_libertad	24.8698559
6	2003	puerto_libertad	28.4207611
7	2003	puerto_libertad	29.4275208
8	2003	puerto_libertad	29.3788738
9	2003	puerto_libertad	27.5573635
10	2003	puerto_libertad	21.7083168
11	2003	puerto_libertad	17.0439606
12	2003	puerto_libertad	16.025938
1	2004	puerto_libertad	15.7628479
2	2004	puerto_libertad	17.8427315
3	2004	puerto_libertad	19.5304489
4	2004	puerto_libertad	21.8773251
5	2004	puerto_libertad	26.4284496
6	2004	puerto_libertad	28.6173878
7	2004	puerto_libertad	30.4644737
8	2004	puerto_libertad	29.3056145
9	2004	puerto_libertad	26.2900505
10	2004	puerto_libertad	21.6564198
11	2004	puerto_libertad	17.9325275
12	2004	puerto_libertad	16.6749706
1	2005	puerto_libertad	16.8566151
2	2005	puerto_libertad	17.7524223
3	2005	puerto_libertad	18.6283665
4	2005	puerto_libertad	21.6282063
5	2005	puerto_libertad	25.8231335
6	2005	puerto_libertad	28.3572426
7	2005	puerto_libertad	30.0914421
8	2005	puerto_libertad	29.8337193
9	2005	puerto_libertad	26.0669365
10	2005	puerto_libertad	20.4917545
11	2005	puerto_libertad	16.8237572
12	2005	puerto_libertad	15.5654411
1	2006	puerto_libertad	15.9881964
2	2006	puerto_libertad	16.1849174
3	2006	puerto_libertad	18.4517689
4	2006	puerto_libertad	21.7610111
5	2006	puerto_libertad	25.4985561
6	2006	puerto_libertad	29.3326778
7	2006	puerto_libertad	30.0983143
8	2006	puerto_libertad	29.0862331
9	2006	puerto_libertad	26.5428085
10	2006	puerto_libertad	22.7936211
11	2006	puerto_libertad	18.5794735
12	2006	puerto_libertad	16.1480713
1	2007	puerto_libertad	16.4306278
2	2007	puerto_libertad	17.6461582
3	2007	puerto_libertad	18.541069
4	2007	puerto_libertad	21.7857666
5	2007	puerto_libertad	24.9752979
6	2007	puerto_libertad	28.2334652
7	2007	puerto_libertad	29.1509037
8	2007	puerto_libertad	29.4453926
9	2007	puerto_libertad	25.1384163
10	2007	puerto_libertad	22.0961609
11	2007	puerto_libertad	16.7581692
12	2007	puerto_libertad	15.2522764
1	2008	puerto_libertad	15.1762028
2	2008	puerto_libertad	16.7790852
3	2008	puerto_libertad	18.3883362
4	2008	puerto_libertad	20.9606209
5	2008	puerto_libertad	25.3249111
6	2008	puerto_libertad	28.8260784
7	2008	puerto_libertad	29.8862057
8	2008	puerto_libertad	30.2033138
9	2008	puerto_libertad	26.3091507
10	2008	puerto_libertad	21.9344635
11	2008	puerto_libertad	18.4612255
12	2008	puerto_libertad	16.5187302
1	2009	puerto_libertad	16.1315765
2	2009	puerto_libertad	17.3399906
3	2009	puerto_libertad	18.4868774
4	2009	puerto_libertad	22.8114223
5	2009	puerto_libertad	24.2108154
6	2009	puerto_libertad	29.625679
7	2009	puerto_libertad	30.2855339
8	2009	puerto_libertad	29.7355537
9	2009	puerto_libertad	26.0520477
10	2009	puerto_libertad	22.4529018
11	2009	puerto_libertad	19.4013634
12	2009	puerto_libertad	17.3536949
1	2010	puerto_libertad	17.7179947
2	2010	puerto_libertad	17.6402302
3	2010	puerto_libertad	18.9442425
4	2010	puerto_libertad	21.4660988
5	2010	puerto_libertad	24.6566715
6	2010	puerto_libertad	28.1055737
7	2010	puerto_libertad	29.8582458
8	2010	puerto_libertad	29.6297131
9	2010	puerto_libertad	26.8607006
10	2010	puerto_libertad	20.3375149
11	2010	puerto_libertad	17.1856613
12	2010	puerto_libertad	15.748126
1	2011	puerto_libertad	15.2083664
2	2011	puerto_libertad	16.6566067
3	2011	puerto_libertad	19.1487293
4	2011	puerto_libertad	20.2549934
5	2011	puerto_libertad	25.7613678
6	2011	puerto_libertad	28.6378574
7	2011	puerto_libertad	30.0116825
8	2011	puerto_libertad	29.6573505
9	2011	puerto_libertad	26.1334782
10	2011	puerto_libertad	20.5315132
11	2011	puerto_libertad	16.7980595
12	2011	puerto_libertad	15.7780247
1	2012	puerto_libertad	15.8891878
2	2012	puerto_libertad	16.3324642
3	2012	puerto_libertad	18.7514172
4	2012	puerto_libertad	22.2011814
5	2012	puerto_libertad	26.4298
6	2012	puerto_libertad	28.9018936
7	2012	puerto_libertad	30.8303986
8	2012	puerto_libertad	30.0339184
9	2012	puerto_libertad	27.3059559
10	2012	puerto_libertad	22.7133236
11	2012	puerto_libertad	19.2567196
12	2012	puerto_libertad	16.3250656
1	2013	puerto_libertad	15.9336014
2	2013	puerto_libertad	17.4591656
3	2013	puerto_libertad	18.888319
4	2013	puerto_libertad	21.6679554
5	2013	puerto_libertad	25.9734554
6	2013	puerto_libertad	28.5990734
7	2013	puerto_libertad	29.7640686
8	2013	puerto_libertad	29.4949989
9	2013	puerto_libertad	25.4466686
10	2013	puerto_libertad	22.1067562
11	2013	puerto_libertad	17.5809402
12	2013	puerto_libertad	16.3743801
1	2014	puerto_libertad	17.0804234
2	2014	puerto_libertad	19.3791695
3	2014	puerto_libertad	20.3171291
4	2014	puerto_libertad	21.4083157
5	2014	puerto_libertad	28.2066574
6	2014	puerto_libertad	29.7188625
7	2014	puerto_libertad	30.2836342
8	2014	puerto_libertad	29.8964672
9	2014	puerto_libertad	27.5926895
10	2014	puerto_libertad	23.0957565
11	2014	puerto_libertad	19.5211735
12	2014	puerto_libertad	16.8737698
1	2015	puerto_libertad	17.4850082
2	2015	puerto_libertad	18.9101143
3	2015	puerto_libertad	20.300375
4	2015	puerto_libertad	21.776022
5	2015	puerto_libertad	25.5988255
6	2015	puerto_libertad	29.1944332
7	2015	puerto_libertad	30.7536526
8	2015	puerto_libertad	30.4656029
9	2015	puerto_libertad	28.2668247
10	2015	puerto_libertad	23.854311
11	2015	puerto_libertad	19.8969765
12	2015	puerto_libertad	18.1132221
1	2016	puerto_libertad	17.8564396
2	2016	puerto_libertad	19.4633961
3	2016	puerto_libertad	20.3126698
4	2016	puerto_libertad	22.2294636
5	2016	puerto_libertad	25.44244
6	2016	puerto_libertad	28.8405037
7	2016	puerto_libertad	29.7831421
8	2016	puerto_libertad	28.9337997
9	2016	puerto_libertad	26.5066757
10	2016	puerto_libertad	21.930418
11	2016	puerto_libertad	18.0392113
12	2016	puerto_libertad	16.0313206
1	2017	puerto_libertad	16.5611744
2	2017	puerto_libertad	18.5732765
3	2017	puerto_libertad	19.494915
4	2017	puerto_libertad	21.4034328
5	2017	puerto_libertad	24.9690266
7	2002	bahia_san_luis_gonzaga	27.5596943
8	2002	bahia_san_luis_gonzaga	29.7819252
9	2002	bahia_san_luis_gonzaga	26.2987747
10	2002	bahia_san_luis_gonzaga	23.3102379
11	2002	bahia_san_luis_gonzaga	20.2195911
12	2002	bahia_san_luis_gonzaga	18.0988216
1	2003	bahia_san_luis_gonzaga	18.0168514
2	2003	bahia_san_luis_gonzaga	17.8192101
3	2003	bahia_san_luis_gonzaga	18.3999348
4	2003	bahia_san_luis_gonzaga	20.4934597
5	2003	bahia_san_luis_gonzaga	24.1744728
6	2003	bahia_san_luis_gonzaga	28.0258675
7	2003	bahia_san_luis_gonzaga	29.6779213
8	2003	bahia_san_luis_gonzaga	29.6567078
9	2003	bahia_san_luis_gonzaga	27.9810677
10	2003	bahia_san_luis_gonzaga	23.0421829
11	2003	bahia_san_luis_gonzaga	18.7881622
12	2003	bahia_san_luis_gonzaga	16.4659061
1	2004	bahia_san_luis_gonzaga	16.3780098
2	2004	bahia_san_luis_gonzaga	17.3176098
3	2004	bahia_san_luis_gonzaga	19.0804195
4	2004	bahia_san_luis_gonzaga	22.3485966
5	2004	bahia_san_luis_gonzaga	24.9301434
6	2004	bahia_san_luis_gonzaga	27.7764988
7	2004	bahia_san_luis_gonzaga	29.151474
8	2004	bahia_san_luis_gonzaga	29.1167736
9	2004	bahia_san_luis_gonzaga	26.476902
10	2004	bahia_san_luis_gonzaga	22.3242016
11	2004	bahia_san_luis_gonzaga	18.9892635
12	2004	bahia_san_luis_gonzaga	17.4865704
1	2005	bahia_san_luis_gonzaga	16.9762516
2	2005	bahia_san_luis_gonzaga	17.5574627
3	2005	bahia_san_luis_gonzaga	18.470768
4	2005	bahia_san_luis_gonzaga	20.8608322
5	2005	bahia_san_luis_gonzaga	24.89604
6	2005	bahia_san_luis_gonzaga	28.7066422
7	2005	bahia_san_luis_gonzaga	29.8476887
8	2005	bahia_san_luis_gonzaga	29.926878
9	2005	bahia_san_luis_gonzaga	27.2852516
10	2005	bahia_san_luis_gonzaga	22.4322681
11	2005	bahia_san_luis_gonzaga	18.7802868
12	2005	bahia_san_luis_gonzaga	17.5010128
1	2006	bahia_san_luis_gonzaga	16.7426643
2	2006	bahia_san_luis_gonzaga	16.5012951
3	2006	bahia_san_luis_gonzaga	17.8897781
4	2006	bahia_san_luis_gonzaga	21.2445965
5	2006	bahia_san_luis_gonzaga	24.9781971
6	2006	bahia_san_luis_gonzaga	28.6603279
7	2006	bahia_san_luis_gonzaga	29.648531
8	2006	bahia_san_luis_gonzaga	29.3942833
9	2006	bahia_san_luis_gonzaga	26.6837578
10	2006	bahia_san_luis_gonzaga	23.4984684
11	2006	bahia_san_luis_gonzaga	19.3679886
12	2006	bahia_san_luis_gonzaga	16.5805893
1	2007	bahia_san_luis_gonzaga	16.100893
2	2007	bahia_san_luis_gonzaga	17.1677475
3	2007	bahia_san_luis_gonzaga	18.4583282
4	2007	bahia_san_luis_gonzaga	21.4307194
5	2007	bahia_san_luis_gonzaga	25.0255833
6	2007	bahia_san_luis_gonzaga	27.9631138
7	2007	bahia_san_luis_gonzaga	29.0369835
8	2007	bahia_san_luis_gonzaga	29.868536
9	2007	bahia_san_luis_gonzaga	25.5183544
10	2007	bahia_san_luis_gonzaga	23.3753395
11	2007	bahia_san_luis_gonzaga	18.3081093
12	2007	bahia_san_luis_gonzaga	15.3774433
1	2008	bahia_san_luis_gonzaga	15.528863
2	2008	bahia_san_luis_gonzaga	16.4136658
3	2008	bahia_san_luis_gonzaga	18.8995438
4	2008	bahia_san_luis_gonzaga	20.5969219
5	2008	bahia_san_luis_gonzaga	24.4531784
6	2008	bahia_san_luis_gonzaga	28.1441345
7	2008	bahia_san_luis_gonzaga	29.4630833
8	2008	bahia_san_luis_gonzaga	30.1390972
9	2008	bahia_san_luis_gonzaga	26.9184685
10	2008	bahia_san_luis_gonzaga	23.6494865
11	2008	bahia_san_luis_gonzaga	20.133234
12	2008	bahia_san_luis_gonzaga	16.9537411
1	2009	bahia_san_luis_gonzaga	16.493742
2	2009	bahia_san_luis_gonzaga	17.0186672
3	2009	bahia_san_luis_gonzaga	18.039711
4	2009	bahia_san_luis_gonzaga	22.809618
5	2009	bahia_san_luis_gonzaga	23.9876957
6	2009	bahia_san_luis_gonzaga	28.1805992
7	2009	bahia_san_luis_gonzaga	29.9216175
8	2009	bahia_san_luis_gonzaga	29.7863827
9	2009	bahia_san_luis_gonzaga	26.6379166
10	2009	bahia_san_luis_gonzaga	22.8948383
11	2009	bahia_san_luis_gonzaga	19.4416542
12	2009	bahia_san_luis_gonzaga	18.0241318
1	2010	bahia_san_luis_gonzaga	17.2519398
2	2010	bahia_san_luis_gonzaga	17.4164829
3	2010	bahia_san_luis_gonzaga	18.4944973
4	2010	bahia_san_luis_gonzaga	20.7430763
5	2010	bahia_san_luis_gonzaga	24.5094452
6	2010	bahia_san_luis_gonzaga	27.3794537
7	2010	bahia_san_luis_gonzaga	29.6415424
8	2010	bahia_san_luis_gonzaga	29.1293354
9	2010	bahia_san_luis_gonzaga	26.8210068
10	2010	bahia_san_luis_gonzaga	22.4767113
11	2010	bahia_san_luis_gonzaga	18.1386318
12	2010	bahia_san_luis_gonzaga	16.1794014
1	2011	bahia_san_luis_gonzaga	15.3722553
2	2011	bahia_san_luis_gonzaga	16.9607601
3	2011	bahia_san_luis_gonzaga	18.9477539
4	2011	bahia_san_luis_gonzaga	20.3984737
5	2011	bahia_san_luis_gonzaga	23.8783112
6	2011	bahia_san_luis_gonzaga	27.9915524
7	2011	bahia_san_luis_gonzaga	29.747057
8	2011	bahia_san_luis_gonzaga	29.8600788
9	2011	bahia_san_luis_gonzaga	27.2413521
10	2011	bahia_san_luis_gonzaga	22.0329399
11	2011	bahia_san_luis_gonzaga	17.2794304
12	2011	bahia_san_luis_gonzaga	16.4743938
1	2012	bahia_san_luis_gonzaga	16.2099781
2	2012	bahia_san_luis_gonzaga	16.5587845
3	2012	bahia_san_luis_gonzaga	18.5229931
4	2012	bahia_san_luis_gonzaga	21.5504169
5	2012	bahia_san_luis_gonzaga	25.1248798
6	2012	bahia_san_luis_gonzaga	28.0745869
7	2012	bahia_san_luis_gonzaga	29.8355083
8	2012	bahia_san_luis_gonzaga	30.2581234
